  id  |            name             |          created_at           |          updated_at           
 1240 | Pepperoni                   | 2019-08-15 12:29:33.307966-06 | 2019-08-15 12:29:33.307966-06
 1248 | Dried Tart Cherries         | 2019-08-15 12:29:33.311674-06 | 2019-08-15 12:29:33.311674-06
 1258 | Yellow Mustard              | 2019-08-15 12:29:33.315568-06 | 2019-08-15 12:29:33.315568-06
 1268 | Buttered Potato Roll        | 2019-08-15 12:29:33.319594-06 | 2019-08-15 12:29:33.319594-06
 1040 | Beef Patty                  | 2019-08-15 12:29:33.207644-06 | 2019-08-15 12:29:33.207644-06
 1050 | Smoked Chopped Ham          | 2019-08-15 12:29:33.214949-06 | 2019-08-15 12:29:33.214949-06
 1060 | Cheddar Cheese              | 2019-08-15 12:29:33.219388-06 | 2019-08-15 12:29:33.219388-06
 1070 | Watercress                  | 2019-08-15 12:29:33.224853-06 | 2019-08-15 12:29:33.224853-06
 1080 | Boston Bibb Lettuce         | 2019-08-15 12:29:33.229732-06 | 2019-08-15 12:29:33.229732-06
 1090 | Beef Patty                  | 2019-08-15 12:29:33.234252-06 | 2019-08-15 12:29:33.234252-06
 1100 | Smoked Bacon                | 2019-08-15 12:29:33.238838-06 | 2019-08-15 12:29:33.238838-06
 1110 | Fried Egg                   | 2019-08-15 12:29:33.243394-06 | 2019-08-15 12:29:33.243394-06
 1120 | Pepperoncini                | 2019-08-15 12:29:33.248774-06 | 2019-08-15 12:29:33.248774-06
 1130 | Toasted White Bread         | 2019-08-15 12:29:33.254708-06 | 2019-08-15 12:29:33.254708-06
 1139 | Rosemary Ciabatta           | 2019-08-15 12:29:33.258626-06 | 2019-08-15 12:29:33.258626-06
 1149 | Gouda Cheese                | 2019-08-15 12:29:33.263333-06 | 2019-08-15 12:29:33.263333-06
 1159 | Thinkly Cut Bacon           | 2019-08-15 12:29:33.268426-06 | 2019-08-15 12:29:33.268426-06
 1169 | Camembert Cheese            | 2019-08-15 12:29:33.272844-06 | 2019-08-15 12:29:33.272844-06
 1179 | Crab Meat                   | 2019-08-15 12:29:33.278725-06 | 2019-08-15 12:29:33.278725-06
 1189 | Pancetta                    | 2019-08-15 12:29:33.282847-06 | 2019-08-15 12:29:33.282847-06
 1199 | Caramelized Onions          | 2019-08-15 12:29:33.286859-06 | 2019-08-15 12:29:33.286859-06
 1209 | Monterey Jack Cheese        | 2019-08-15 12:29:33.291533-06 | 2019-08-15 12:29:33.291533-06
 1219 | Beef Patty                  | 2019-08-15 12:29:33.297531-06 | 2019-08-15 12:29:33.297531-06
 1229 | While Grain Mustard         | 2019-08-15 12:29:33.302083-06 | 2019-08-15 12:29:33.302083-06
 1239 | Beef Patty                  | 2019-08-15 12:29:33.307714-06 | 2019-08-15 12:29:33.307714-06
 1251 | Thinly Spread Dijon Mustard | 2019-08-15 12:29:33.312152-06 | 2019-08-15 12:29:33.312152-06
 1261 | Grated Swiss Cheese         | 2019-08-15 12:29:33.316071-06 | 2019-08-15 12:29:33.316071-06
 1042 | Sliced Ham                  | 2019-08-15 12:29:33.209744-06 | 2019-08-15 12:29:33.209744-06
 1052 | Frisée Lettuce              | 2019-08-15 12:29:33.216204-06 | 2019-08-15 12:29:33.216204-06
 1062 | Iceberg Lettuce             | 2019-08-15 12:29:33.2214-06   | 2019-08-15 12:29:33.2214-06
 1072 | Pickled Red Onions          | 2019-08-15 12:29:33.225647-06 | 2019-08-15 12:29:33.225647-06
 1082 | Brick Cheese                | 2019-08-15 12:29:33.230001-06 | 2019-08-15 12:29:33.230001-06
 1092 | Chippolini Onions           | 2019-08-15 12:29:33.234573-06 | 2019-08-15 12:29:33.234573-06
 1102 | Vidalia Onions              | 2019-08-15 12:29:33.239094-06 | 2019-08-15 12:29:33.239094-06
 1112 | Onion Rings                 | 2019-08-15 12:29:33.24367-06  | 2019-08-15 12:29:33.24367-06
 1122 | Italian Roll                | 2019-08-15 12:29:33.249001-06 | 2019-08-15 12:29:33.249001-06
 1132 | Beef Patty                  | 2019-08-15 12:29:33.254947-06 | 2019-08-15 12:29:33.254947-06
 1145 | Crisp Bacon                 | 2019-08-15 12:29:33.260287-06 | 2019-08-15 12:29:33.260287-06
 1155 | Out Bread                   | 2019-08-15 12:29:33.265571-06 | 2019-08-15 12:29:33.265571-06
 1163 | Beef Patty                  | 2019-08-15 12:29:33.270014-06 | 2019-08-15 12:29:33.270014-06
 1173 | Dijon Mayonnaise            | 2019-08-15 12:29:33.274108-06 | 2019-08-15 12:29:33.274108-06
 1183 | Caramalized Onions          | 2019-08-15 12:29:33.280121-06 | 2019-08-15 12:29:33.280121-06
 1193 | Toasted Olive Ciabatta      | 2019-08-15 12:29:33.284222-06 | 2019-08-15 12:29:33.284222-06
 1203 | Beef Patty                  | 2019-08-15 12:29:33.288346-06 | 2019-08-15 12:29:33.288346-06
 1213 | Refried Beans               | 2019-08-15 12:29:33.293484-06 | 2019-08-15 12:29:33.293484-06
 1223 | Sauerkraut                  | 2019-08-15 12:29:33.299517-06 | 2019-08-15 12:29:33.299517-06
 1233 | Beef Patty                  | 2019-08-15 12:29:33.303934-06 | 2019-08-15 12:29:33.303934-06
 1243 | Caramelized Onions          | 2019-08-15 12:29:33.308996-06 | 2019-08-15 12:29:33.308996-06
 1253 | Shredded Swiss Cheese       | 2019-08-15 12:29:33.313144-06 | 2019-08-15 12:29:33.313144-06
 1264 | Pickled Jalapeños           | 2019-08-15 12:29:33.31764-06  | 2019-08-15 12:29:33.31764-06
 1043 | Butter Sautéed Mushrooms    | 2019-08-15 12:29:33.210329-06 | 2019-08-15 12:29:33.210329-06
 1053 | Pretzel Bun                 | 2019-08-15 12:29:33.216335-06 | 2019-08-15 12:29:33.216335-06
 1063 | Tomatoes                    | 2019-08-15 12:29:33.221531-06 | 2019-08-15 12:29:33.221531-06
 1073 | Balsalmic Mayonnaise        | 2019-08-15 12:29:33.225784-06 | 2019-08-15 12:29:33.225784-06
 1083 | Beef Patty                  | 2019-08-15 12:29:33.230251-06 | 2019-08-15 12:29:33.230251-06
 1093 | Arugula                     | 2019-08-15 12:29:33.235554-06 | 2019-08-15 12:29:33.235554-06
 1103 | Roma Tomatoes               | 2019-08-15 12:29:33.240091-06 | 2019-08-15 12:29:33.240091-06
 1113 | BBQ Sauce                   | 2019-08-15 12:29:33.244846-06 | 2019-08-15 12:29:33.244846-06
 1123 | Lighlty Aged Cheddar Cheese | 2019-08-15 12:29:33.249204-06 | 2019-08-15 12:29:33.249204-06
 1133 | Arugala                     | 2019-08-15 12:29:33.255049-06 | 2019-08-15 12:29:33.255049-06
 1144 | Rosemary                    | 2019-08-15 12:29:33.260113-06 | 2019-08-15 12:29:33.260113-06
 1154 | Spinach                     | 2019-08-15 12:29:33.265345-06 | 2019-08-15 12:29:33.265345-06
 1162 | Gruyère Cheese              | 2019-08-15 12:29:33.269817-06 | 2019-08-15 12:29:33.269817-06
 1172 | Thickly Cut Bacon           | 2019-08-15 12:29:33.273936-06 | 2019-08-15 12:29:33.273936-06
 1182 | Romaine Lettuce             | 2019-08-15 12:29:33.280004-06 | 2019-08-15 12:29:33.280004-06
 1192 | Garlic Mayonnaise           | 2019-08-15 12:29:33.284086-06 | 2019-08-15 12:29:33.284086-06
 1202 | Thinly Sliced Swiss Cheese  | 2019-08-15 12:29:33.288124-06 | 2019-08-15 12:29:33.288124-06
 1212 | Avocado                     | 2019-08-15 12:29:33.292401-06 | 2019-08-15 12:29:33.292401-06
 1222 | Grolsch Beer Mustard        | 2019-08-15 12:29:33.298409-06 | 2019-08-15 12:29:33.298409-06
 1232 | Thickly Sliced Swiss Cheese | 2019-08-15 12:29:33.302594-06 | 2019-08-15 12:29:33.302594-06
 1242 | Pizza Sauce                 | 2019-08-15 12:29:33.308622-06 | 2019-08-15 12:29:33.308622-06
 1252 | Rustic Italian Roll         | 2019-08-15 12:29:33.312967-06 | 2019-08-15 12:29:33.312967-06
 1262 | Beef Patty                  | 2019-08-15 12:29:33.316844-06 | 2019-08-15 12:29:33.316844-06
 1044 | Dijon Mustard               | 2019-08-15 12:29:33.213247-06 | 2019-08-15 12:29:33.213247-06
 1054 | Brie Cheese                 | 2019-08-15 12:29:33.217742-06 | 2019-08-15 12:29:33.217742-06
 1064 | Bacon                       | 2019-08-15 12:29:33.222493-06 | 2019-08-15 12:29:33.222493-06
 1074 | Toasted Ciabatta Roll       | 2019-08-15 12:29:33.226794-06 | 2019-08-15 12:29:33.226794-06
 1084 | BQQ Sauce                   | 2019-08-15 12:29:33.231111-06 | 2019-08-15 12:29:33.231111-06
 1094 | Kalamata Olives             | 2019-08-15 12:29:33.235662-06 | 2019-08-15 12:29:33.235662-06
 1104 | Ranch Dressing              | 2019-08-15 12:29:33.240209-06 | 2019-08-15 12:29:33.240209-06
 1114 | Toasted Knot Bun            | 2019-08-15 12:29:33.245158-06 | 2019-08-15 12:29:33.245158-06
 1124 | Aged Swiss Cheese           | 2019-08-15 12:29:33.250192-06 | 2019-08-15 12:29:33.250192-06
 1134 | Fried Prosciutto            | 2019-08-15 12:29:33.255141-06 | 2019-08-15 12:29:33.255141-06
 1143 | Cremini Mushrooms           | 2019-08-15 12:29:33.259949-06 | 2019-08-15 12:29:33.259949-06
 1153 | Pesto Mayonnaise            | 2019-08-15 12:29:33.264875-06 | 2019-08-15 12:29:33.264875-06
 1165 | Pickles                     | 2019-08-15 12:29:33.270335-06 | 2019-08-15 12:29:33.270335-06
 1175 | Heirloom Tomatoes           | 2019-08-15 12:29:33.276028-06 | 2019-08-15 12:29:33.276028-06
 1185 | Gorgonzola Cheese           | 2019-08-15 12:29:33.281245-06 | 2019-08-15 12:29:33.281245-06
 1195 | Beef Patty                  | 2019-08-15 12:29:33.285163-06 | 2019-08-15 12:29:33.285163-06
 1205 | Light Ketchup               | 2019-08-15 12:29:33.289772-06 | 2019-08-15 12:29:33.289772-06
 1215 | Green Leaf Lettuce          | 2019-08-15 12:29:33.294427-06 | 2019-08-15 12:29:33.294427-06
 1225 | Smoked Cheddar Cheese       | 2019-08-15 12:29:33.299831-06 | 2019-08-15 12:29:33.299831-06
 1235 | Sauerkraut                  | 2019-08-15 12:29:33.305668-06 | 2019-08-15 12:29:33.305668-06
 1245 | Blue Cheese                 | 2019-08-15 12:29:33.310302-06 | 2019-08-15 12:29:33.310302-06
 1255 | Grilled Ham Slice           | 2019-08-15 12:29:33.313985-06 | 2019-08-15 12:29:33.313985-06
 1265 | Onions                      | 2019-08-15 12:29:33.31845-06  | 2019-08-15 12:29:33.31845-06
 1045 | Mayonnaise                  | 2019-08-15 12:29:33.213436-06 | 2019-08-15 12:29:33.213436-06
 1055 | Beef Patty                  | 2019-08-15 12:29:33.217857-06 | 2019-08-15 12:29:33.217857-06
 1065 | Ketchup                     | 2019-08-15 12:29:33.222597-06 | 2019-08-15 12:29:33.222597-06
 1075 | Brick Cheese                | 2019-08-15 12:29:33.226909-06 | 2019-08-15 12:29:33.226909-06
 1085 | Peppered Pork               | 2019-08-15 12:29:33.231224-06 | 2019-08-15 12:29:33.231224-06
 1095 | Italian Dressing            | 2019-08-15 12:29:33.2358-06   | 2019-08-15 12:29:33.2358-06
 1105 | Toasted Roll                | 2019-08-15 12:29:33.240384-06 | 2019-08-15 12:29:33.240384-06
 1115 | Havarti Cheese              | 2019-08-15 12:29:33.245391-06 | 2019-08-15 12:29:33.245391-06
 1125 | Beef Patty                  | 2019-08-15 12:29:33.250346-06 | 2019-08-15 12:29:33.250346-06
 1135 | Onions                      | 2019-08-15 12:29:33.255306-06 | 2019-08-15 12:29:33.255306-06
 1146 | Garlic Aioli                | 2019-08-15 12:29:33.260417-06 | 2019-08-15 12:29:33.260417-06
 1156 | Gruyère Cheese              | 2019-08-15 12:29:33.266116-06 | 2019-08-15 12:29:33.266116-06
 1166 | Onions                      | 2019-08-15 12:29:33.271274-06 | 2019-08-15 12:29:33.271274-06
 1176 | Brioche Roll                | 2019-08-15 12:29:33.277147-06 | 2019-08-15 12:29:33.277147-06
 1186 | Beef Patty                  | 2019-08-15 12:29:33.281356-06 | 2019-08-15 12:29:33.281356-06
 1196 | Thick-cut Potato Chaps      | 2019-08-15 12:29:33.285786-06 | 2019-08-15 12:29:33.285786-06
 1206 | Pickles                     | 2019-08-15 12:29:33.289913-06 | 2019-08-15 12:29:33.289913-06
 1216 | Onions                      | 2019-08-15 12:29:33.294639-06 | 2019-08-15 12:29:33.294639-06
 1226 | Beef Patty                  | 2019-08-15 12:29:33.300505-06 | 2019-08-15 12:29:33.300505-06
 1236 | Thousand Island Dressing    | 2019-08-15 12:29:33.306392-06 | 2019-08-15 12:29:33.306392-06
 1246 | Beef Patty                  | 2019-08-15 12:29:33.310414-06 | 2019-08-15 12:29:33.310414-06
 1257 | Pickles                     | 2019-08-15 12:29:33.31472-06  | 2019-08-15 12:29:33.31472-06
 1267 | Black Olives                | 2019-08-15 12:29:33.318739-06 | 2019-08-15 12:29:33.318739-06
 1046 | Potato Roll                 | 2019-08-15 12:29:33.213871-06 | 2019-08-15 12:29:33.213871-06
 1056 | Apple Butter                | 2019-08-15 12:29:33.218775-06 | 2019-08-15 12:29:33.218775-06
 1066 | Red Onions                  | 2019-08-15 12:29:33.2235-06   | 2019-08-15 12:29:33.2235-06
 1076 | Beef Patty                  | 2019-08-15 12:29:33.227813-06 | 2019-08-15 12:29:33.227813-06
 1086 | Onion Rings                 | 2019-08-15 12:29:33.23219-06  | 2019-08-15 12:29:33.23219-06
 1096 | Poppy Seed Challah Roll     | 2019-08-15 12:29:33.236799-06 | 2019-08-15 12:29:33.236799-06
 1106 | Brick Cheese                | 2019-08-15 12:29:33.241344-06 | 2019-08-15 12:29:33.241344-06
 1116 | Provolone Cheese            | 2019-08-15 12:29:33.245792-06 | 2019-08-15 12:29:33.245792-06
 1126 | Pickles                     | 2019-08-15 12:29:33.250534-06 | 2019-08-15 12:29:33.250534-06
 1136 | Olive Tapenade              | 2019-08-15 12:29:33.25544-06  | 2019-08-15 12:29:33.25544-06
 1142 | Sautéed Wild Mushrooms      | 2019-08-15 12:29:33.259831-06 | 2019-08-15 12:29:33.259831-06
 1152 | Sliced Turkey               | 2019-08-15 12:29:33.264602-06 | 2019-08-15 12:29:33.264602-06
 1164 | BBQ Sauce                   | 2019-08-15 12:29:33.2702-06   | 2019-08-15 12:29:33.2702-06
 1174 | Caramelized Onions          | 2019-08-15 12:29:33.274286-06 | 2019-08-15 12:29:33.274286-06
 1184 | Sourdough Roll              | 2019-08-15 12:29:33.280279-06 | 2019-08-15 12:29:33.280279-06
 1194 | Blue Cheese                 | 2019-08-15 12:29:33.284408-06 | 2019-08-15 12:29:33.284408-06
 1204 | Pork Belly                  | 2019-08-15 12:29:33.28915-06  | 2019-08-15 12:29:33.28915-06
 1214 | Picked Jalapeños            | 2019-08-15 12:29:33.294184-06 | 2019-08-15 12:29:33.294184-06
 1224 | Kaiser Roll                 | 2019-08-15 12:29:33.299636-06 | 2019-08-15 12:29:33.299636-06
 1234 | Corned Beef                 | 2019-08-15 12:29:33.304199-06 | 2019-08-15 12:29:33.304199-06
 1244 | Rustic Italian Roll         | 2019-08-15 12:29:33.309356-06 | 2019-08-15 12:29:33.309356-06
 1254 | Beef Patty                  | 2019-08-15 12:29:33.313307-06 | 2019-08-15 12:29:33.313307-06
 1263 | Tortilla Chips              | 2019-08-15 12:29:33.317446-06 | 2019-08-15 12:29:33.317446-06
 1048 | Butterkäse Cheese           | 2019-08-15 12:29:33.213872-06 | 2019-08-15 12:29:33.213872-06
 1057 | Aged Dijon Mustard          | 2019-08-15 12:29:33.218892-06 | 2019-08-15 12:29:33.218892-06
 1067 | Grilled Potato Roll         | 2019-08-15 12:29:33.223616-06 | 2019-08-15 12:29:33.223616-06
 1077 | BQQ Sauce                   | 2019-08-15 12:29:33.227927-06 | 2019-08-15 12:29:33.227927-06
 1087 | Boston Bibb Lettuce         | 2019-08-15 12:29:33.232306-06 | 2019-08-15 12:29:33.232306-06
 1097 | Fresh Mozzarella Cheese     | 2019-08-15 12:29:33.236912-06 | 2019-08-15 12:29:33.236912-06
 1107 | Medium Aged Cheddar Cheese  | 2019-08-15 12:29:33.241465-06 | 2019-08-15 12:29:33.241465-06
 1117 | Beef Patty                  | 2019-08-15 12:29:33.246044-06 | 2019-08-15 12:29:33.246044-06
 1127 | Yello Mustard               | 2019-08-15 12:29:33.251292-06 | 2019-08-15 12:29:33.251292-06
 1137 | Diced Tomatoes              | 2019-08-15 12:29:33.256732-06 | 2019-08-15 12:29:33.256732-06
 1147 | Lettuce                     | 2019-08-15 12:29:33.261318-06 | 2019-08-15 12:29:33.261318-06
 1157 | Beef Patty                  | 2019-08-15 12:29:33.267013-06 | 2019-08-15 12:29:33.267013-06
 1167 | Pepper Coleslaw             | 2019-08-15 12:29:33.271416-06 | 2019-08-15 12:29:33.271416-06
 1177 | Monterey Jack Cheese        | 2019-08-15 12:29:33.277388-06 | 2019-08-15 12:29:33.277388-06
 1187 | Sundried Tomatoes           | 2019-08-15 12:29:33.282032-06 | 2019-08-15 12:29:33.282032-06
 1197 | Smoked Pepper Pork          | 2019-08-15 12:29:33.286493-06 | 2019-08-15 12:29:33.286493-06
 1207 | Caramelized Onions          | 2019-08-15 12:29:33.290989-06 | 2019-08-15 12:29:33.290989-06
 1217 | Mexican Roll                | 2019-08-15 12:29:33.296101-06 | 2019-08-15 12:29:33.296101-06
 1227 | Maple Bacon                 | 2019-08-15 12:29:33.301106-06 | 2019-08-15 12:29:33.301106-06
 1237 | Grilled Dark Rye            | 2019-08-15 12:29:33.306655-06 | 2019-08-15 12:29:33.306655-06
 1247 | Toasted Walnuts             | 2019-08-15 12:29:33.310554-06 | 2019-08-15 12:29:33.310554-06
 1256 | Roasted Pork Shoulder       | 2019-08-15 12:29:33.314619-06 | 2019-08-15 12:29:33.314619-06
 1266 | Fresh Iceberg Lettuce       | 2019-08-15 12:29:33.318579-06 | 2019-08-15 12:29:33.318579-06
 1049 | Beer Mustard                | 2019-08-15 12:29:33.214371-06 | 2019-08-15 12:29:33.214371-06
 1058 | Spinach                     | 2019-08-15 12:29:33.21905-06  | 2019-08-15 12:29:33.21905-06
 1068 | Blue Cheese                 | 2019-08-15 12:29:33.223768-06 | 2019-08-15 12:29:33.223768-06
 1078 | Peppered Pork               | 2019-08-15 12:29:33.22808-06  | 2019-08-15 12:29:33.22808-06
 1088 | Toasted Sesame Bun          | 2019-08-15 12:29:33.233202-06 | 2019-08-15 12:29:33.233202-06
 1098 | Parmesan Cheese             | 2019-08-15 12:29:33.237815-06 | 2019-08-15 12:29:33.237815-06
 1108 | Beef Patty                  | 2019-08-15 12:29:33.242353-06 | 2019-08-15 12:29:33.242353-06
 1118 | Capicola                    | 2019-08-15 12:29:33.247015-06 | 2019-08-15 12:29:33.247015-06
 1129 | Chopped Iceberg Lettuce     | 2019-08-15 12:29:33.254406-06 | 2019-08-15 12:29:33.254406-06
 1141 | Beef Patty                  | 2019-08-15 12:29:33.258892-06 | 2019-08-15 12:29:33.258892-06
 1151 | Fried Prosciutto            | 2019-08-15 12:29:33.263823-06 | 2019-08-15 12:29:33.263823-06
 1161 | Toasted Onion Roll          | 2019-08-15 12:29:33.269147-06 | 2019-08-15 12:29:33.269147-06
 1171 | Olive Oil Sautéed Mushrooms | 2019-08-15 12:29:33.27379-06  | 2019-08-15 12:29:33.27379-06
 1181 | Fresh Tomatoes              | 2019-08-15 12:29:33.27965-06  | 2019-08-15 12:29:33.27965-06
 1191 | Arugala                     | 2019-08-15 12:29:33.283972-06 | 2019-08-15 12:29:33.283972-06
 1201 | Sliced Cheddar Cheese       | 2019-08-15 12:29:33.287986-06 | 2019-08-15 12:29:33.287986-06
 1211 | Beef Patty                  | 2019-08-15 12:29:33.29222-06  | 2019-08-15 12:29:33.29222-06
 1220 | Caramelized Onions          | 2019-08-15 12:29:33.29778-06  | 2019-08-15 12:29:33.29778-06
 1231 | Sourdough Loaf              | 2019-08-15 12:29:33.302428-06 | 2019-08-15 12:29:33.302428-06
 1241 | Lightly Sautéed Mushrooms   | 2019-08-15 12:29:33.308187-06 | 2019-08-15 12:29:33.308187-06
 1249 | Curly Endive                | 2019-08-15 12:29:33.311812-06 | 2019-08-15 12:29:33.311812-06
 1259 | Pressed French Bread        | 2019-08-15 12:29:33.315728-06 | 2019-08-15 12:29:33.315728-06
 1047 | Beef Patty                  | 2019-08-15 12:29:33.214203-06 | 2019-08-15 12:29:33.214203-06
 1059 | Toasted Brioche Loaf        | 2019-08-15 12:29:33.219239-06 | 2019-08-15 12:29:33.219239-06
 1069 | Beef Patty                  | 2019-08-15 12:29:33.223952-06 | 2019-08-15 12:29:33.223952-06
 1079 | Onion Rings                 | 2019-08-15 12:29:33.228912-06 | 2019-08-15 12:29:33.228912-06
 1089 | Feta Crumbles               | 2019-08-15 12:29:33.233314-06 | 2019-08-15 12:29:33.233314-06
 1099 | Beef Patty                  | 2019-08-15 12:29:33.237931-06 | 2019-08-15 12:29:33.237931-06
 1109 | Thickly Cut Ham             | 2019-08-15 12:29:33.242471-06 | 2019-08-15 12:29:33.242471-06
 1119 | Pickled Jalapeños           | 2019-08-15 12:29:33.247188-06 | 2019-08-15 12:29:33.247188-06
 1128 | Yellow Onions               | 2019-08-15 12:29:33.252385-06 | 2019-08-15 12:29:33.252385-06
 1138 | Fresh Basil Leaves          | 2019-08-15 12:29:33.257445-06 | 2019-08-15 12:29:33.257445-06
 1148 | Sesame Seed Bun             | 2019-08-15 12:29:33.261911-06 | 2019-08-15 12:29:33.261911-06
 1158 | Caramelized Onions          | 2019-08-15 12:29:33.267221-06 | 2019-08-15 12:29:33.267221-06
 1168 | Grilled Sourdough Slices    | 2019-08-15 12:29:33.271578-06 | 2019-08-15 12:29:33.271578-06
 1178 | Beef Patty                  | 2019-08-15 12:29:33.278065-06 | 2019-08-15 12:29:33.278065-06
 1188 | Sicillian Olives            | 2019-08-15 12:29:33.282722-06 | 2019-08-15 12:29:33.282722-06
 1198 | Pancetta                    | 2019-08-15 12:29:33.286672-06 | 2019-08-15 12:29:33.286672-06
 1208 | Kaiser Roll                 | 2019-08-15 12:29:33.291252-06 | 2019-08-15 12:29:33.291252-06
 1218 | Cheese Curds                | 2019-08-15 12:29:33.296469-06 | 2019-08-15 12:29:33.296469-06
 1228 | Sautéed Apples              | 2019-08-15 12:29:33.301296-06 | 2019-08-15 12:29:33.301296-06
 1238 | Mozzarella Cheese           | 2019-08-15 12:29:33.306874-06 | 2019-08-15 12:29:33.306874-06
 1250 | Onions                      | 2019-08-15 12:29:33.311974-06 | 2019-08-15 12:29:33.311974-06
 1260 | White Cheddar Cheese        | 2019-08-15 12:29:33.3159-06   | 2019-08-15 12:29:33.3159-06

  id  | burger_id | ingredients_id |          created_at           |          updated_at           
-----+-----------+----------------+-------------------------------+-------------------------------
   1 |       524 |           1040 | 2019-08-15 12:29:33.319776-06 | 2019-08-15 12:29:33.319776-06
   2 |       524 |           1041 | 2019-08-15 12:29:33.319965-06 | 2019-08-15 12:29:33.319965-06
   3 |       524 |           1042 | 2019-08-15 12:29:33.320702-06 | 2019-08-15 12:29:33.320702-06
   4 |       524 |           1043 | 2019-08-15 12:29:33.321327-06 | 2019-08-15 12:29:33.321327-06
   5 |       524 |           1044 | 2019-08-15 12:29:33.322513-06 | 2019-08-15 12:29:33.322513-06
   6 |       524 |           1045 | 2019-08-15 12:29:33.322669-06 | 2019-08-15 12:29:33.322669-06
   7 |       525 |           1048 | 2019-08-15 12:29:33.322821-06 | 2019-08-15 12:29:33.322821-06
   8 |       524 |           1046 | 2019-08-15 12:29:33.323053-06 | 2019-08-15 12:29:33.323053-06
   9 |       525 |           1049 | 2019-08-15 12:29:33.323869-06 | 2019-08-15 12:29:33.323869-06
  10 |       525 |           1047 | 2019-08-15 12:29:33.323887-06 | 2019-08-15 12:29:33.323887-06
  11 |       525 |           1050 | 2019-08-15 12:29:33.326065-06 | 2019-08-15 12:29:33.326065-06
  12 |       525 |           1051 | 2019-08-15 12:29:33.327039-06 | 2019-08-15 12:29:33.327039-06
  13 |       525 |           1052 | 2019-08-15 12:29:33.327832-06 | 2019-08-15 12:29:33.327832-06
  14 |       525 |           1053 | 2019-08-15 12:29:33.32892-06  | 2019-08-15 12:29:33.32892-06
  15 |       526 |           1054 | 2019-08-15 12:29:33.329412-06 | 2019-08-15 12:29:33.329412-06
  16 |       526 |           1055 | 2019-08-15 12:29:33.329832-06 | 2019-08-15 12:29:33.329832-06
  17 |       526 |           1056 | 2019-08-15 12:29:33.330262-06 | 2019-08-15 12:29:33.330262-06
  18 |       526 |           1057 | 2019-08-15 12:29:33.330649-06 | 2019-08-15 12:29:33.330649-06
  19 |       526 |           1059 | 2019-08-15 12:29:33.330814-06 | 2019-08-15 12:29:33.330814-06
  20 |       526 |           1058 | 2019-08-15 12:29:33.33091-06  | 2019-08-15 12:29:33.33091-06
  21 |       527 |           1060 | 2019-08-15 12:29:33.331044-06 | 2019-08-15 12:29:33.331044-06
  22 |       527 |           1061 | 2019-08-15 12:29:33.331275-06 | 2019-08-15 12:29:33.331275-06
  23 |       527 |           1062 | 2019-08-15 12:29:33.332858-06 | 2019-08-15 12:29:33.332858-06
  24 |       527 |           1063 | 2019-08-15 12:29:33.333228-06 | 2019-08-15 12:29:33.333228-06
  25 |       527 |           1064 | 2019-08-15 12:29:33.333374-06 | 2019-08-15 12:29:33.333374-06
  26 |       527 |           1065 | 2019-08-15 12:29:33.333593-06 | 2019-08-15 12:29:33.333593-06
